time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
2860,305,12.54,61900,0.07,0.44175312505065234,25944,0.16398920491337776
2870,306,12.11,62023,0.07,0.42503683449715346,26008,0.1522838044911623
2880,307,12.08,62151,0.07,0.4241043628824416,26072,0.14282748475670815
2890,308,12.15,62310,0.07,0.4358501275770606,26152,0.14308704994618893
2900,309,12.48,62462,0.07,0.44960407634320404,26224,0.13864667527377605
2910,309,12.62,62594,0.07,0.4521891899422185,26296,0.144933152012527
2920,310,12.64,62739,0.07,0.4553169752335831,26368,0.14030577894300222
2930,311,13.04,62918,0.07,0.46840457122146845,26456,0.13981294073164463
2940,312,13.05,63050,0.07,0.47065324964113,26520,0.13567748945206404
2950,313,12.89,63166,0.07,0.46401994432662674,26576,0.11997269932180643
2960,314,13.18,63318,0.07,0.4758700043924498,26656,0.13678894005715847
2970,314,13.17,63440,0.07,0.4741842626198409,26712,0.1367787653580308
2980,315,12.95,63546,0.07,0.46252969867468713,26768,0.137864351272583
2990,316,12.68,63678,0.07,0.44330036111893567,26832,0.11529410164803267
3000,317,12.47,63809,0.07,0.4370962714308441,26904,0.12144131027162075
3010,317,12.48,63942,0.07,0.441056800414793,26968,0.12110563833266497
3020,318,12.41,64080,0.07,0.43111898924216,27032,0.12874665390700102
3030,319,11.9,64208,0.07,0.4146681917485038,27096,0.11807660572230816
3040,320,11.64,64314,0.07,0.4092006784867354,27152,0.13345668651163578
3050,320,11.65,64431,0.07,0.41035578593308214,27208,0.12033940758556128
3060,321,11.37,64555,0.07,0.3940648787002737,27272,0.11771575454622507
3070,322,11.5,64690,0.07,0.40192479853195956,27344,0.12101839762181044
3080,323,11.58,64804,0.07,0.40647827021491945,27400,0.12868918292224407
3090,323,11.52,64930,0.07,0.4141463447891753,27464,0.12388242315500975
3100,324,11.66,65075,0.07,0.4219375013599392,27536,0.11912078317254782
3110,325,11.68,65210,0.07,0.42042393648671333,27600,0.11623052135109901
3120,326,11.87,65367,0.07,0.42873342802147396,27680,0.11940885707736015
3130,327,12.06,65514,0.07,0.4404892003735895,27752,0.1123922597616911
3140,328,12.44,65658,0.07,0.4583478971587629,27824,0.11335084214806557
3150,328,12.59,65790,0.07,0.46278067671772843,27888,0.12154562585055828
3160,329,12.83,65938,0.07,0.47092178672931667,27968,0.1075737802311778
3170,330,12.71,66061,0.07,0.46596891402440155,28024,0.12077686563134193
3180,331,12.74,66178,0.07,0.4678388325311083,28088,0.11674258578568697
3190,331,12.66,66296,0.07,0.45869821478455614,28144,0.11678311787545681
3200,332,12.57,66432,0.07,0.45053444650167174,28208,0.10028238035738468
3210,333,12.22,66532,0.07,0.4392760460166181,28264,0.11339260637760162
3220,334,12.0,66667,0.07,0.43782296570818735,28328,0.09991084039211273
3230,334,11.86,66800,0.07,0.4259475832317148,28392,0.11707580648362637
3240,335,11.72,66930,0.07,0.409963052888482,28464,0.10972336120903492
3250,336,11.7,67060,0.07,0.4234103696960551,28528,0.11153699643909931
3260,337,11.84,67222,0.07,0.4293371415967803,28608,0.10836188774555922
3270,338,12.05,67366,0.07,0.44140210307984323,28680,0.10777799692004919
3280,339,11.97,67475,0.07,0.44145571180246107,28736,0.10466480161994696
3290,339,12.03,67599,0.07,0.43862333009282495,28792,0.10327732935547829
3300,340,11.91,67723,0.07,0.4332936285896867,28856,0.11152721103280783
3310,341,12.13,67845,0.07,0.445730312316701,28920,0.1049686735495925
3320,341,12.15,67982,0.07,0.44816317481266815,28984,0.0996546633541584
3330,342,12.28,68128,0.07,0.46486548363405916,29056,0.08923627063632011
3340,343,12.04,68234,0.07,0.46168917145588845,29112,0.10544089693576097
3350,344,11.75,68335,0.07,0.4408305479617099,29160,0.09591781999915838
3360,344,11.22,68444,0.07,0.41593563149506063,29216,0.0981386061757803
3370,345,11.29,68595,0.07,0.4189405412021874,29296,0.08707818761467934
3380,346,11.35,68710,0.07,0.4272172242262489,29352,0.09626761544495821
3390,347,11.76,68875,0.07,0.4498487768895609,29432,0.10220113396644592
3400,348,11.74,68997,0.07,0.4448831718166933,29496,0.09278553072363138
3410,348,11.61,69106,0.07,0.43276033318057194,29552,0.10176622401922941
3420,349,11.65,69247,0.07,0.4263270440767652,29616,0.09696018043905497
3430,350,11.64,69392,0.07,0.4184609643869377,29688,0.09457715973258018
3440,351,11.98,69532,0.07,0.4353656799799653,29760,0.09523916896432638
3450,352,12.19,69654,0.07,0.4428807520768369,29824,0.09481265489012003
3460,352,12.25,69769,0.07,0.4536614306459367,29880,0.08120267745107412
3470,353,12.17,69912,0.07,0.44745712347833033,29952,0.0864124889485538
3480,354,12.17,70027,0.07,0.4346755011586222,30008,0.08910545520484447
3490,354,11.59,70134,0.07,0.4091458768682317,30064,0.08550021052360535
3500,355,11.79,70276,0.07,0.4165446260587417,30136,0.09438836481422186
3510,356,12.1,70416,0.07,0.4311155398986626,30200,0.08151288516819477
3520,357,11.87,70534,0.07,0.4273344803552949,30264,0.10221038199961185
3530,358,11.85,70677,0.07,0.421938229580149,30336,0.08018537238240242
3540,359,12.09,70841,0.07,0.4328749864571815,30416,0.08320609014481306
3550,359,12.11,70965,0.07,0.4346039040112757,30480,0.08392683789134026
3560,360,12.31,71100,0.07,0.44114186556488605,30544,0.09460328985005617
3570,361,11.96,71208,0.07,0.4242450688096804,30600,0.07955428259447217
