rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,525,16.88,1870,72708,-0.5570215558102006,31352,0.15861721854889765
0.07,526,16.48,1880,72831,-0.5348354620630946,31408,0.1725179562345147
0.07,527,17.21,1890,73049,-0.5670406141031765,31520,0.1887997379526496
0.07,529,16.96,1900,73226,-0.5401548420699618,31608,0.17360395891591907
0.07,532,18.07,1910,73532,-0.5568956252584174,31760,0.29339515790343285
0.07,533,18.24,1920,73736,-0.5612428700530573,31864,0.15863804856780916
0.07,535,18.22,1930,73933,-0.5624852562523778,31960,0.1869528740644455
0.07,536,18.88,1940,74115,-0.5852615013789452,32056,0.1722015446284786
0.07,538,19.33,1950,74349,-0.5919583024620465,32168,0.16347413789480925
0.07,540,19.51,1960,74574,-0.594420121421343,32280,0.22239168547093868
0.07,542,19.38,1970,74746,-0.5960041987047011,32368,0.1928847129456699
0.07,543,19.9,1980,74921,-0.6169340570387064,32456,0.18330520251765847
0.07,545,20.01,1990,75150,-0.6236441765694775,32568,0.14737794874235988
0.07,547,20.38,2000,75364,-0.646350741269166,32680,0.18437075102701783
0.07,549,19.43,2010,75575,-0.640220985395213,32784,0.15548911457881331
0.07,550,18.89,2020,75725,-0.6243013228615822,32856,0.24063059175387025
0.07,552,19.63,2030,75996,-0.6617878877170944,32992,0.21539021289208904
0.07,554,19.94,2040,76209,-0.6690366774629934,33104,0.12936751352390274
0.07,556,19.66,2050,76415,-0.6856977037220792,33200,0.16043594432994723
0.07,558,19.84,2060,76658,-0.6992199554235627,33328,0.22766043804585934
0.07,559,20.21,2070,76867,-0.7010523686435342,33432,0.1747646350413561
0.07,561,20.47,2080,77068,-0.7152185884430757,33528,0.23331359308212996
0.07,563,19.84,2090,77234,-0.6918952320786422,33616,0.13998821302084252
0.07,564,19.44,2100,77408,-0.6742087764576845,33696,0.19180986151332036
0.07,566,19.13,2110,77588,-0.6595415884227502,33792,0.27743729390203953
0.07,567,19.51,2120,77776,-0.6884199319829883,33880,0.24992404505610466
0.07,569,18.85,2130,77981,-0.6553771490601576,33984,0.2575144115835428
0.07,571,18.72,2140,78181,-0.6515391978699416,34088,0.20182324526831508
0.07,572,18.58,2150,78373,-0.6250820306383865,34184,0.20304273231886327
0.07,574,18.12,2160,78570,-0.6112842606108547,34280,0.18460220890119672
0.07,576,18.58,2170,78825,-0.6215441116489884,34408,0.14704376785084605
0.07,577,18.33,2180,79001,-0.6101833705291289,34496,0.18372984882444143
0.07,579,19.04,2190,79238,-0.6270749700018535,34616,0.15955159859731793
0.07,582,19.78,2200,79486,-0.6486495316339359,34736,0.19558996055275202
0.07,583,19.22,2210,79610,-0.6300435679271622,34800,0.2657676665112376
0.07,584,19.29,2220,79805,-0.6196101173030294,34896,0.19568182062357664
0.07,586,19.41,2230,80022,-0.6224035393750608,35008,0.2058515129610896
0.07,587,19.07,2240,80188,-0.6165902597194135,35088,0.20413767360150814
0.07,589,18.88,2250,80361,-0.6253141751167353,35176,0.18539361050352454
0.07,590,18.56,2260,80526,-0.6116322417644436,35256,0.19905052008107305
0.07,592,18.05,2270,80730,-0.6022710308476846,35360,0.2085818275809288
0.07,593,18.18,2280,80919,-0.6011686088051466,35456,0.18944356124848127
0.07,596,18.6,2290,81198,-0.5988391053085779,35592,0.1652007969096303
0.07,597,17.63,2300,81349,-0.5764090189150789,35672,0.20471671875566244
0.07,598,18.03,2310,81513,-0.5929855692857149,35752,0.22455345431808382
0.07,600,18.17,2320,81722,-0.5870107259102152,35856,0.22392909321933985
0.07,602,17.81,2330,81903,-0.5737830955756237,35944,0.1936098225414753
0.07,604,18.43,2340,82131,-0.5888494989551397,36064,0.17625745886471123
0.07,605,18.91,2350,82352,-0.5965548277711185,36168,0.19026796566322446
0.07,607,19.16,2360,82542,-0.6057715767255197,36264,0.22283782623708248
0.07,610,20.23,2370,82853,-0.6262901324518654,36424,0.21546444948762655
0.07,611,19.89,2380,83008,-0.6164159688525797,36496,0.17899609170854092
0.07,613,19.2,2390,83218,-0.6147742001966625,36608,0.169289271812886
0.07,614,19.62,2400,83411,-0.6230825622365298,36704,0.18449045065790415
0.07,616,19.53,2410,83566,-0.6210919829109207,36776,0.19700672785984352
0.07,618,19.95,2420,83817,-0.6416948907565011,36904,0.17853644397109747
0.07,619,19.93,2430,83996,-0.6522128145240399,36992,0.17631886788876727
0.07,621,20.16,2440,84247,-0.6581678545250003,37120,0.17639968171715736
0.07,623,19.77,2450,84429,-0.6643863032486577,37208,0.20643602684140205
