rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates
-3.617751384548522,702,137125,82.0,1890,0.07,0.0629872209392488,63560
-3.4957341539118882,706,137656,80.18,1900,0.07,0.08638959750533104,63824
-3.351935309296004,712,138855,81.33,1910,0.07,0.08453829865902662,64424
-3.3872315084250704,721,140413,84.15,1920,0.07,0.08473747596144676,65200
-3.6359713208955626,727,141615,91.1,1930,0.07,0.0791548197157681,65800
-3.8750564563676453,735,143051,98.31,1940,0.07,0.08270685002207756,66520
-4.315095904441073,744,144884,111.5,1950,0.07,0.08994354028254747,67440
-4.555976742223337,752,146293,118.08,1960,0.07,0.07530913362279534,68144
-4.727907128752754,760,147779,122.65,1970,0.07,0.07412075903266668,68888
-5.108320655963259,768,149369,131.55,1980,0.07,0.08535473002120852,69680
-5.073559590075345,773,150224,129.99,1990,0.07,0.06973920366726816,70104
-5.224545084174882,777,151046,132.9,2000,0.07,0.09256361098960042,70520
-5.096260020336917,783,152115,131.6,2010,0.07,0.09732516296207905,71056
-4.968844652732352,789,153259,127.46,2020,0.07,0.08765389863401651,71624
-4.842161687759408,793,154066,123.51,2030,0.07,0.09195895120501518,72032
-4.5879790146584565,797,154748,115.97,2040,0.07,0.09213015902787447,72368
-4.306838569186467,802,155754,107.7,2050,0.07,0.07757085422053933,72872
-4.16167254719627,807,156755,103.62,2060,0.07,0.05926629947498441,73376
-4.083485415599258,813,157896,100.17,2070,0.07,0.07744771055877209,73944
-3.9797995519261247,821,159266,97.97,2080,0.07,0.06790210632607341,74632
-4.359469552203974,830,160986,106.62,2090,0.07,0.06656700931489468,75488
-5.193826001897069,844,163546,124.0,2100,0.07,0.0640904363244772,76768
-6.98272798315412,859,166457,142.42,2110,0.07,0.05624750931747258,78224
-8.067311676020566,873,169107,157.48,2120,0.07,0.06230507977306843,79552
-9.196380856848585,888,171946,177.8,2130,0.07,0.05328357731923461,80968
-10.10809207125643,902,174481,196.33,2140,0.07,0.0435384763404727,82240
-10.71122025488135,913,176670,208.16,2150,0.07,0.050986822228878736,83328
-11.222434064361785,926,178912,220.57,2160,0.07,0.05160180572420359,84448
-11.440357683859059,936,180798,228.02,2170,0.07,0.03927704179659486,85392
-11.511607072113465,945,182453,230.87,2180,0.07,0.05310850660316646,86224
-11.215265040183857,951,183652,225.66,2190,0.07,0.045172922080382705,86824
-10.637455655131042,960,185337,216.91,2200,0.07,0.041309492429718375,87664
-8.915280800792845,967,186701,201.44,2210,0.07,0.04898942681029439,88344
-8.049056657475848,975,188068,188.61,2220,0.07,0.042635801481083035,89032
-6.81594770624012,978,188635,165.89,2230,0.07,0.046050368808209896,89312
-6.30095681531708,987,190270,156.89,2240,0.07,0.03584842989221215,90128
-5.868645788295717,994,191667,148.97,2250,0.07,0.050855360459536314,90832
-5.869499462089989,1005,193729,147.17,2260,0.07,0.059825836680829525,91864
-5.694999708090851,1013,195140,142.42,2270,0.07,0.046595602529123425,92568
-5.893821868123123,1025,197386,148.33,2280,0.07,0.049447322729974985,93688
-6.236137507142894,1036,199473,157.21,2290,0.07,0.05366276600398123,94736
